id,name,nature,culture,entertainment,food,activity,tags,latitude,longitude,image_url,district
69,空中的雨林-R17世運站,0.4,0.5,0.4,0.1,0.3,"打卡點,鐵道",22.70188757,120.30248,https://khh.travel/image/163/1024x768,楠梓區
70,右昌森林公園,0.9,0.2,0.3,0.1,0.5,"風景,親子,戶外運動",22.71978678,120.2937249,https://orgws.kcg.gov.tw/001/KcgOrgUploadFiles/466/relpic/78113/346558/51794b9e-d475-4144-a16e-f4546ec58c10.jpg,楠梓區
71,高雄市立美術館,0.7,0.9,0.4,0.2,0.3,"藝文,風景,室內",22.65665614,120.2865079,https://museums.moc.gov.tw/Upload/FrontPhoto/77022dec-8ae9-4563-bd0a-41df98bab632.jpg,鼓山區
72,高雄港,0.9,0.5,0.6,0.4,0.4,"風景,海邊",22.59886137,120.2883384,https://cdn-smiletaiwan.cw.com.tw/article/202312/article-657954302c9d5.jpg,鼓山區
73,西子灣蔣介石行館,0.7,0.9,0.3,0.2,0.3,"古蹟,風景",22.62720718,120.2646685,https://img.ltn.com.tw/Upload/news/600/2024/02/06/4574221_2_1.jpg,鼓山區
74,忠烈祠,0.8,0.9,0.3,0.1,0.4,"古蹟,風景,打卡點",22.62642144,120.2737821,https://upload.wikimedia.org/wikipedia/commons/6/6e/Martyrs%27_Shrine%2C_Kaohsiung.jpg,鼓山區
75,內惟埤文化園區,0.8,0.8,0.4,0.2,0.4,"風景,藝文,親子",22.65825115,120.2850345,https://takao.kcg.gov.tw/public/article/a0/3655/atl_3655_20250731103850_578.jpg,鼓山區
76,壽山國家自然公園,1,0.4,0.2,0.1,0.8,"風景,戶外運動,登山",22.62611956,120.272481,https://ws.moi.gov.tw/001/Upload/OldFile_SNNP/Photo/%E9%A6%96%E9%A0%81%E5%BB%A3%E5%91%8A/202004171515_239694.jpg,鼓山區
77,十八王公廟,0.6,1,0.2,0.2,0.4,"廟宇,風景",22.61924489,120.2670034,https://khh.travel/image/35/1024x768,鼓山區
78,高雄哈瑪星代天宮,0.3,1,0.3,0.6,0.3,"廟宇,美食",22.62254022,120.2711773,https://cdn-smiletaiwan.cw.com.tw/article/201904/article-5cc67d4e904e7.jpg,鼓山區
79,旗山碾米廠,0.3,0.9,0.4,0.2,0.3,"古蹟,文化",22.88402101,120.4816444,https://heritage.kcg.gov.tw/UploadPlugin?file=ZjqDcCG8CfOT01YvNKRoct0y8ZG6JU37Mtp74NVjRWSzgPFOziQDR6R0HxUsH%2F9m3d6kz3tHGFjzJWDq%2FOH7zA%3D%3D,旗山區
80,旗山武德殿,0.3,0.9,0.3,0.1,0.2,"古蹟,藝文",22.8879713,120.480315,https://khh.travel/image/18444/640x480,旗山區
81,鼓山公園,0.8,0.5,0.2,0.1,0.5,"風景,古蹟",22.88987681,120.4753398,https://khh.travel/image/1064/1024x768,旗山區
82,市定古蹟-旗山國小,0.3,0.9,0.2,0.1,0.2,古蹟,22.88833932,120.4808224,https://data.boch.gov.tw/upload/representImageFile/2020-11-24/9acb1723-1c33-49a9-8de7-1f2ffde008c3/%E6%97%97%E5%B1%B1%E5%9C%8B%E5%B0%8F.jpg,旗山區
